연대,명사
1990s,청바지 여자 밥 배 여자 얘기 재미 여자 여자 머리 무스 윤기 여자 고요한 눈빛 시력 여자 김치 볶음밥 여자 목젖 여자 돈 마음 여자 멋 멋 여자 껌 소리 안나 여자 다리 예뻐서 짧은 치마 여자 속 바라 위로 여자 이후 미팅 번 번 여자 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 라라 여자 여자 여보세요 날 희망사항 여자 남자
1990s,생각 대답 너에게 얘기 표정 집 앞 골목길 외등 외로움 끝 거 이별 온몸 사랑 뿐 생각 대답 너에게 얘기 표정 집 앞 골목길 외등 외로움 끝 거 이별 온몸 사랑 뿐
1990s,낮 저녁 유리창 이슬 밤 시계 소리 마음 밤 빗줄기 맘 비 속 헤메 맘 비 이제 우산 낮 저녁 유리창 슬픔 밤 마음속 기억 빗줄기 기억 순간 사이 마음 비 이제 우산 낮 저녁 유리창 슬픔 밤 유리창 기억 이슬
1990s,빗방울 거리 서서 숨소리 듯 붓 거리 투명 색칠 음악 카페 물감 빗방울 가로등 불 아래 보라색 물감 세상 사람 도화지 속 풍경 행복 욕심 사람 얼굴 사람 그림 행복 음악 카페 물감 빗방울 가로등 불 아래 보라색 물감 세상 사람 도화지 속 풍경 행복 욕심 사람 얼굴 사람 그림 행복 빗방울 거리 서서 숨소리 듯 붓 거리 투명 색칠
1990s,모습 무대 뒤 소녀 눈물 무대 뒤 소녀 의자 손 바라 얘기 소녀 노래 소녀 울음 밖 노래 끝 이제 노래 밖 노래 끝 이제 노래
1990s,처음 날 소리 밤새 눈 끝 사랑 시작 서서 눈 아쉬움 그리움 눈 밤 새벽종 소리 사랑은 거 말 그리움 외로움 가슴 아픔 사랑 거 눈 밤 새벽종 소리 사랑은 거 말 그리움 외로움 가슴 아픔 사랑 거 아픔 사랑 거
1990s,꿈 간직 꿈 꿈 꿈 채 남 꿈 꿈 하네 세상 사람 세상 개성 마다 말 꿈 말 내일 꿈 꿈 내일 꿈 꿈 꿈 간직 남 꿈 꿈 하네 세상 사람 세상 개성 마다 말 꿈 말 내일 꿈 꿈 내일 꿈 꿈 내일 꿈 꿈 내일 꿈 꿈
1990s,세상 순간 서로 길 얼굴 모습 속 가슴 소원 표정 포기 우리들의 만남 후회 길 사랑해요 얼굴 모습 속 가슴 소원 표정 포기 우리들의 만남 후회 길 사랑해요
1990s,내사랑 쯤 밤 눈 말 손 밤 마음 눈물 보고싶은 얼굴 가슴 사람 밤 사람 내사랑 쯤 밤 눈 말 손 밤 마음 눈물 보고싶은 얼굴 가슴 사람 밤 사람 랄 라라 라라 라라 라라 랄 라라 라라 라라 라라 밤 사람 밤 마음 눈물 보고싶은 얼굴
1990s,꽃 꽃 꽃밭 피어 나비 꽃 나비 담장 위 봄바람 불어 미싱 구름 솜 구름 애기 구름 샤쓰 짧은 치마 여름 소금 땀 비지 땀 미싱 하늘 별 밤새 찬바람 소슬바람 너머 바람 간밤 편지 장 낙엽 미싱 흰 눈 세상 소복 소복 공장 불빛 얼굴 청춘 미싱 공장 작업 밤새 꽃 꽃 꽃밭 피어 나비 꽃 나비 담장 위 봄바람 불어 미싱 미싱 미싱
1990s,머리 손 사람 속 두기 건 때문 생활 그리워 전 어느날 편지 며칠 잠도 생각 눈물 손 사진 위 건 때문 생활 그리워 전 어느날 편지 며칠 잠도 생각 눈물 손 사진 위 생각 눈물 손 사진 위
1990s,한줌 바람 이제 추억 거리 날 향기 얘기 세상 한줌 연기 시절 입가 쓴웃음 생각 눈 겨울 웃음 세상 귀 여름 파도 소리 얘기 향기 추억 생각 눈 겨울 웃음 세상 귀 여름 파도 소리 얘기 생각 눈 겨울 웃음 세상 귀 여름 파도 소리
1990s,미련 마음 속 오늘 아침 눈 햇살 곁 건 추억 허탈 미소 마음 날 맘 아침 눈 햇살 곁 건 추억 허탈 미소 마음 날 마음속 미소 마음 날 마음속
1990s,찬바람 세 바람 뒤 그리움 채 낙엽 세 낙엽 위 추억 마음 눈빛 차 건 계절 탓 찬바람 이제 생각 한때 마음 눈빛 차 건 계절 탓 찬바람 이제 생각 이제 생각
