1990s_빈도_1,1990s_빈도_2,1990s_빈도_3,1990s_빈도_4,1990s_빈도_5,1990s_빈도_6,1990s_빈도_7,1990s_빈도_8,1990s_빈도_9,1990s_빈도_10,2000s_빈도_1,2000s_빈도_2,2000s_빈도_3,2000s_빈도_4,2000s_빈도_5,2000s_빈도_6,2000s_빈도_7,2000s_빈도_8,2000s_빈도_9,2000s_빈도_10,2010s_빈도_1,2010s_빈도_2,2010s_빈도_3,2010s_빈도_4,2010s_빈도_5,2010s_빈도_6,2010s_빈도_7,2010s_빈도_8,2010s_빈도_9,2010s_빈도_10,2020s_빈도_1,2020s_빈도_2,2020s_빈도_3,2020s_빈도_4,2020s_빈도_5,2020s_빈도_6,2020s_빈도_7,2020s_빈도_8,2020s_빈도_9,2020s_빈도_10
"('라라', 40)","('여자', 17)","('멋', 2)","('번', 2)","('청바지', 1)","('밥', 1)","('배', 1)","('얘기', 1)","('재미', 1)","('머리', 1)","('말', 2)","('세상', 2)","('사랑', 1)","('눈물', 1)","('외면', 1)","('길목', 1)","('뒷모습', 1)","('한참', 1)","('얘기', 1)","('가슴', 1)","('여자', 5)","('남자', 5)","('뒤', 4)","('속', 4)","('겉', 3)","('잘 알지도 못하면서', 3)","('겉모습', 3)","('시선', 3)","('사랑은', 3)","('모습', 3)","('노래', 17)","('다운', 3)","('문제', 3)","('분위기', 3)","('요새', 3)","('게', 3)","('유행', 3)","('인가', 3)","('마찬가지', 3)","('블루투스', 3)"
"('생각', 2)","('대답', 2)","('너에게', 2)","('얘기', 2)","('표정', 2)","('집', 2)","('앞', 2)","('골목길', 2)","('외등', 2)","('외로움', 2)","('거', 3)","('부족', 3)","('남은', 3)","('사랑', 3)","('뿐', 2)","('그동안', 2)","('힘', 2)","('눈물', 2)","('속', 2)","('기억', 2)","('이야기', 8)","('잔소리', 6)","('말', 5)","('맘', 4)","('사랑', 4)","('소리', 3)","('너에게', 3)","('웃음', 2)","('얘기', 2)","('열', 2)","('경고', 4)","('노트', 2)","('전국', 2)","('사람', 2)","('괴물', 2)","('체', 2)","('별빛', 2)","('노래', 2)","('음', 2)","('절', 2)"
"('유리창', 4)","('밤', 4)","('낮', 3)","('저녁', 3)","('비', 3)","('기억', 3)","('이슬', 2)","('마음', 2)","('빗줄기', 2)","('맘', 2)","('나나', 24)","('맘', 6)","('날', 3)","('거', 3)","('투', 2)","('넌', 2)","('마음', 2)","('문', 2)","('허락', 2)","('갈수', 2)","('날', 7)","('말', 6)","('맘', 3)","('사랑', 3)","('집', 2)","('앞', 2)","('전화', 2)","('숨', 2)","('채', 2)","('하루', 2)","('거', 6)","('대도', 3)","('후회하지 않아', 3)","('사랑으로', 3)","('약속', 2)","('건', 2)","('영원', 2)","('행복', 2)","('품', 2)","('미소', 2)"
"('사람', 6)","('빗방울', 4)","('거리', 4)","('물감', 4)","('행복', 4)","('서서', 2)","('숨소리', 2)","('듯', 2)","('붓', 2)","('투명', 2)","('행복', 4)","('괜찮아', 4)","('걱정', 4)","('날', 3)","('떠나지마', 3)","('여자', 2)","('번', 2)","('말', 2)","('정신', 2)","('차려', 2)","('날', 5)","('밥', 4)","('눈물', 4)","('생각', 3)","('오늘', 3)","('이제', 2)","('체', 2)","('하루', 2)","('버스', 2)","('욕', 2)","('거', 6)","('집', 5)","('말', 5)","('연락', 4)","('바라', 4)","('앞', 4)","('꽃', 3)","('속', 2)","('샴푸', 2)","('향', 2)"
"('노래', 5)","('소녀', 4)","('무대', 2)","('뒤', 2)","('밖', 2)","('끝', 2)","('이제', 2)","('모습', 1)","('눈물', 1)","('의자', 1)","('오레오', 8)","('레오', 8)","('생각', 6)","('앞', 3)","('주체', 3)","('너에게', 3)","('제일', 2)","('말', 2)","('설명', 2)","('눈', 2)","('죽어도 못 보내', 6)","('거', 5)","('가슴', 4)","('수라도', 3)","('거짓말', 2)","('건', 1)","('세상', 1)","('모르진', 1)","('괜찮아', 1)","('라고', 1)","('우우', 6)","('우', 6)","('기억', 4)","('섬', 3)","('서로', 3)","('게', 2)","('오렌지', 2)","('태양', 2)","('아래', 2)","('그림자', 2)"
"('거', 5)","('눈', 4)","('사랑', 4)","('소리', 3)","('그리움', 3)","('아픔', 3)","('밤', 2)","('새벽종', 2)","('사랑은', 2)","('말', 2)","('속', 6)","('곳', 6)","('바람', 4)","('가지', 2)","('새', 2)","('가시', 2)","('노래', 2)","('날', 2)","('바램', 1)","('어둠', 1)","('Oh!', 34)","('오빠', 14)","('사랑해', 6)","('전', 3)","('아냐', 3)","('말', 3)","('두그', 2)","('진심', 2)","('바보', 2)","('뿐', 2)","('우', 7)","('엄지손가락', 3)","('장미꽃', 3)","('너에게', 3)","('송이', 3)","('네모', 2)","('칸', 2)","('향기', 2)","('비밀', 2)","('정원', 2)"
"('꿈', 23)","('내일', 6)","('세상', 4)","('말', 4)","('간직', 2)","('남', 2)","('하네', 2)","('사람', 2)","('개성', 2)","('마다', 2)","('친구', 10)","('우정', 6)","('거', 4)","('여자', 3)","('생각', 3)","('거절', 2)","('고민', 2)","('기만', 2)","('지금', 2)","('이해', 2)","('너 때문에', 7)","('생각', 4)","('눈물', 3)","('아픔', 2)","('상처', 2)","('부', 1)","('눈', 1)","('이제', 1)","('행복', 1)","('순간', 1)","('얘기', 4)","('듯', 3)","('집', 3)","('번', 3)","('걸음', 3)","('서서', 3)","('이제', 2)","('술', 2)","('한잔', 2)","('기억', 2)"
"('길', 3)","('얼굴', 2)","('모습', 2)","('속', 2)","('가슴', 2)","('소원', 2)","('표정', 2)","('포기', 2)","('우리들의', 2)","('만남', 2)","('사랑', 4)","('너에게', 3)","('처음', 3)","('날', 3)","('기쁨', 3)","('이제', 3)","('말', 3)","('세상', 2)","('행복', 2)","('이해', 2)","('살다가', 8)","('땜', 4)","('향기', 3)","('감각', 3)","('심장', 3)","('듯이', 3)","('온종일', 2)","('영혼', 2)","('오늘밤', 2)","('너에게', 1)","('테', 6)","('꿈', 5)","('선', 2)","('거', 2)","('건', 2)","('버티고', 2)","('다시 시작해', 2)","('시작', 1)","('시계', 1)","('바늘', 1)"
"('밤', 8)","('라라', 8)","('사람', 5)","('마음', 3)","('눈물', 3)","('보고싶은 얼굴', 3)","('내사랑', 2)","('쯤', 2)","('눈', 2)","('말', 2)","('세상', 4)","('추억', 3)","('뿐', 3)","('거', 2)","('하늘', 2)","('날', 2)","('사랑', 2)","('유혹', 2)","('처음', 2)","('말', 2)","('사랑', 7)","('가슴', 4)","('눈물', 4)","('멍', 3)","('순간', 3)","('뿐', 3)","('밥', 3)","('사실', 3)","('감사', 3)","('뭐', 2)","('게', 4)","('날개', 3)","('말', 3)","('하늘', 2)","('눈', 2)","(""I've"", 2)","('상처', 2)","('행복', 1)","('머리맡', 1)","('이후', 1)"
"('미싱', 7)","('꽃', 6)","('나비', 4)","('구름', 3)","('꽃밭', 2)","('피어', 2)","('담장', 2)","('위', 2)","('봄바람', 2)","('불어', 2)","('사람', 3)","('사랑', 2)","('잘못', 2)","('건', 2)","('뿐', 2)","('만나', 2)","('기전', 2)","('모습', 2)","('추억', 2)","('상처', 2)","('후회', 4)","('날', 3)","('걱정', 3)","('집착', 3)","('착각', 3)","('사람', 3)","('슬픔', 3)","('뿐', 3)","('남자', 2)","('모습', 2)","('말', 6)","('바보', 4)","('듯', 3)","('사이', 2)","('서로', 2)","('이해', 2)","('간', 2)","('대', 2)","('기운', 2)","('맘', 1)"
"('손', 4)","('생각', 3)","('눈물', 3)","('사진', 3)","('위', 3)","('건', 2)","('때문', 2)","('생활', 2)","('그리워', 2)","('전', 2)","('가니', 10)","('사랑', 8)","('날', 6)","('오오', 4)","('사랑해', 3)","('나는 어떡하라고', 3)","('이제', 3)","('진정', 3)","('사이', 2)","('하늘', 2)","('세상', 4)","('Back It Up', 3)","('Turn It Up', 3)","('행동', 2)","('심장', 1)","('소리', 1)","('뒤', 1)","('서서', 1)","('침착', 1)","('기회', 1)","('사랑', 8)","('이별', 6)","('거지', 2)","('이유', 2)","('서로', 2)","('포기', 2)","('길', 2)","('발', 2)","('이후', 2)","('바다', 2)"
"('세상', 4)","('얘기', 3)","('생각', 3)","('눈', 3)","('겨울', 3)","('웃음', 3)","('귀', 3)","('여름', 3)","('파도', 3)","('소리', 3)","('맘', 4)","('운명', 3)","('거', 3)","('대신', 3)","('이제', 3)","('건', 3)","('사랑', 2)","('눈빛', 2)","('어깨', 2)","('유인', 1)","('말', 10)","('전', 2)","('이별', 2)","('날', 2)","('순간', 2)","('하란', 2)","('거', 2)","('건', 2)","('눈물', 1)","('나기', 1)",0,0,0,0,0,0,0,0,0,0
